State,Program,College/University,Years Post Grad,Cohort,Average Earnings
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$93,515.67 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,"$93,504.67 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$93,441.67 "
CO,COMPUTER ENGINEERING,COLORADO STATE UNIVERSITY,5,2004,"$93,431.67 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,10,2001,"$93,381.00 "
TX,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$93,225.00 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,"$93,203.67 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,1998,"$92,786.67 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$92,707.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2001,"$92,599.00 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY,10,2001,"$92,436.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2001,"$92,389.33 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$92,342.33 "
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,"$92,253.67 "
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2001,"$92,212.67 "
CO,MECHANICAL ENGINEERING,UNIV OF COLORADO AT COLO SPRINGS,10,2004,"$92,190.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$92,105.67 "
CO,COMPUTER SCIENCE,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,"$92,078.33 "
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$91,913.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,"$91,879.33 "
CO,MECHANICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2004,"$91,771.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS MEDICAL BRANCH,10,2004,"$91,392.33 "
TX,MATHEMATICS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$91,366.33 "
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2001,"$91,229.67 "
CO,ARCHITECTURAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$91,168.33 "
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,1998,"$91,013.67 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS HEALTH SCIENCE CENTER,10,2004,"$90,956.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-EL PASO,10,2004,"$90,882.33 "
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$90,609.33 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$90,428.67 "
CO,ENGINEERING PHYSICS,COLORADO SCHOOL OF MINES,10,2001,"$90,419.00 "
CO,CONSTRUCTION ENGINEERING TECHNOLOGIES,COLORADO STATE UNIVERSITY,10,2004,"$90,323.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$90,206.67 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,"$90,154.33 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,10,2001,"$90,051.00 "
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,5,2007,"$89,963.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$89,788.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$89,692.67 "
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$89,692.00 "
CO,MECHANICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,1998,"$89,662.67 "
CO,COMPUTER ENGINEERING,COLORADO STATE UNIVERSITY,5,2007,"$89,610.00 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO DENVER,10,2001,"$89,470.33 "
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$89,461.67 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,5,2001,"$89,424.33 "
CO,FIRE PROTECTION,COLORADO STATE UNIVERSITY,1,2013,"$89,412.67 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS HEALTH SCIENCE CENTER,10,2001,"$89,409.67 "
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,5,1998,"$89,355.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$89,301.67 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS MEDICAL BRANCH,10,2001,"$89,263.00 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,5,1998,"$89,237.00 "
CO,ECONOMICS,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$89,174.00 "
CO,CIVIL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$88,860.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,5,2001,"$88,787.33 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,"$88,711.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS AT TYLER,5,2007,"$88,612.67 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,"$88,508.67 "
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,5,1998,"$88,241.67 "
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$88,205.00 "
