State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,5,2004,89301
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS MEDICAL BRANCH,10,2001,89263
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,5,1998,89237
CO,ECONOMICS,UNIVERSITY OF COLORADO-BOULDER,10,2004,89174
CO,CIVIL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,88860
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,5,2001,88787
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,88711
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS AT TYLER,5,2007,88612
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,88508
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,5,1998,88241
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,10,2001,88205
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-EL PASO,10,2001,88053
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2004,88034
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2013,87994
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS AT TYLER,10,2001,87860
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-EL PASO,10,2004,87838
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2004,87718
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2004,87718
CO,COMPUTER SCIENCE,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,87698
CO,ECONOMICS,COLORADO SCHOOL OF MINES,5,2001,87608
TX,MARKETING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,87600
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIV OF COLORADO AT COLO SPRINGS,10,2001,87483
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,1,2013,87482
CO,MECHANICAL ENGINEERING,UNIV OF COLORADO AT COLO SPRINGS,10,2001,87418
CO,ENGINEERING PHYSICS,COLORADO SCHOOL OF MINES,10,1998,87382
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,5,2001,87361
TX,MATHEMATICS,UNIVERSITY OF TEXAS-AUSTIN,10,2001,87083
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS - BROWNSVILLE,1,2001,87073
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,87044
TX,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,UNIVERSITY OF TEXAS AT TYLER,10,2001,87026
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,86962
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,10,2004,86960
CO,MINING AND MINERAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2004,86842
CO,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF NORTHERN COLORADO,10,1998,86683
CO,ELECTRICAL ENGINEERING TECHNOLOGIES/TECHNICIANS,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,86674
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-AUSTIN,10,2004,86672
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-EL PASO,10,2004,86637
